  area_id,level,name_en,name_fr,polygon_wkt,description_file
  salon,level2,Living Room,Salon,"POLYGON ((123.66089 218.23204, 123.66089 786.23911, 446.82733 786.23911, 446.82733 217.34141, 123.6667 217.34141, 123.66089 218.23204))",./descriptions/salon.md
  réduit,level2,Living Room,Salon,"POLYGON ((122.79254 74.906597, 123.34295 207.55616, 312.68506 207.55616, 312.68506 157.46856, 210.85864 157.46856, 210.85864 74.906597, 122.79254 74.906597))",./descriptions/reduit.md
toilet_attique,level2,Living Room,toilette,"POLYGON ((388.64207 76.007423, 388.64207 206.45533, 446.98586 206.45533, 446.98586 74.906597, 388.59065 74.906597, 388.64207 76.007423))",./descriptions/toilette_attique.md
balcon_attique,level2,Living Room,toilette,"POLYGON ((22.614618 559.75431, 22.614618 1045.1613, 590.5738 1045.1613, 590.5738 548.74735, 463.99375 548.74735, 463.99375 803.00814, 105.16682 803.00814, 105.16682 559.75431, 22.614618 559.75431))",./descriptions/balcon_attique.md
escalier_2,level2,Living Room,toilette,"POLYGON ((221.54606 74.858214, 221.54606 149.03155, 322.26065 149.03155, 322.26065 213.72587, 379.60873 213.72587, 379.60873 74.147287, 221.54938 74.147287, 221.54606 74.858214))",./descriptions/escalier_attique.md
sdb_ouest,level1,Living Room,Living Room,"POLYGON ((28.967428 32.485927, 28.967428 226.66308, 187.73969 226.66308, 187.73969 32.705833, 28.967428 32.485927))",./descriptions/sdb_ouest.md
hall,level1,,,"POLYGON ((197.61374 138.73829, 197.61374 225.54735, 217.81189 225.54735, 217.81189 232.85306, 383.04993 232.85306, 386.05816 232.85306, 386.05816 227.05147, 391.21514 227.05147, 391.21514 157.43232, 291.94339 157.43232, 289.79465 157.43232, 289.79465 151.20098, 251.11735 151.20098, 251.11735 138.30854, 197.61374 138.73829))",./descriptions/hall.md
sdb_est,level1,,,"POLYGON ((427.50778 156.29187, 401.22118 156.29187, 401.22118 208.55582, 404.31372 208.55582, 404.31372 226.80182, 545.02437 226.80182, 545.02437 32.590197, 364.11067 32.590197, 364.11067 146.70499, 428.12629 146.70499, 427.50778 156.29187))",./descriptions/sdb_est.md
chambre_nord_est,level1,,,"POLYGON ((331.90994 243.38189, 546.13922 243.38189, 546.13922 490.70176, 331.69506 490.70176, 331.90994 243.38189))",./descriptions/chambre_nord_est.md
couloir_sud,level1,,,"POLYGON ((271.33442 235.46094, 217.52419 235.46094, 217.52419 502.03804, 224.01853 502.03804, 224.01853 574.71277, 288.03415 574.71277, 288.03415 507.29536, 284.63235 507.29536, 284.63235 488.74011, 321.4336 488.74011, 321.4336 244.42931, 288.03415 244.42931, 288.03415 242.57378, 271.02517 242.57378, 271.33442 235.46094))",./descriptions/couloir.md
chambre_nord_ouest,level1,,,"POLYGON ((212.33378 241.65272, 212.33378 492.13057, 28.818939 492.13057, 28.818939 240.56683, 212.33378 241.65272))",./descriptions/chambre_nord_ouest.md
chambre_sud_ouest,level1,,,"POLYGON ((107.36474 506.60906, 107.36474 916.35029, 286.17407 916.35029, 286.17407 754.91514, 211.24789 754.91514, 211.24789 507.33298, 107.36474 506.60906))",./descriptions/chambre_sud_ouest.md
chambre_sud_est,level1,,,"POLYGON ((300.2906 506.60906, 300.2906 587.32663, 223.19265 587.32663, 223.19265 743.33235, 297.75686 743.33235, 297.75686 916.35029, 304.99611 916.35029, 304.99611 918.52206, 411.05104 918.52206, 411.05104 506.60906, 300.2906 506.60906))",./descriptions/chambre_sud_est.md
balcon_inferieur,level1,,,"POLYGON ((19.956585 507.26167, 19.956585 1091.0049, 556.21135 1091.0049, 556.21135 507.99226, 429.08829 507.99226, 429.08829 936.84996, 88.632264 936.84996, 88.632264 506.53108, 19.956585 507.26167))",./descriptions/balcon_inferieur.md
escalier_1,level1,,,"POLYGON ((252.77917 134.02557, 196.80417 133.71631, 196.80417 31.971689, 356.07007 31.971689, 356.07007 56.712023, 253.08843 56.712023, 252.77917 134.02557))",./descriptions/escalier_1.md
entree,level0,,,"POLYGON ((13.6332 175.42115, 13.6332 339.06874, 16.236685 339.06874, 16.236685 342.41607, 81.323792 342.41607, 81.323792 335.7214, 117.02872 335.7214, 117.02872 247.57486, 95.085066 247.57486, 95.085066 183.23161, 69.794076 183.23161, 69.794076 174.6773, 13.6332 175.42115))",./descriptions/entree.md